               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 108,             0.02097,            0.011788,           0.0021134,             0.95552,             0.88026,             0.93782,             0.69131,            0.026821,           0.0084345,           0.0023694,            0.002938,            0.002938,            0.002938
                 109,            0.021249,            0.012035,           0.0023604,             0.94989,             0.88555,             0.93406,             0.69128,            0.027072,           0.0084638,           0.0024868,            0.002872,            0.002872,            0.002872
                 110,            0.020877,            0.011678,           0.0022529,             0.96529,             0.88788,             0.94168,             0.70362,            0.026302,           0.0083534,           0.0020324,            0.002806,            0.002806,            0.002806
                 111,            0.020702,            0.011695,           0.0021626,             0.95002,             0.88178,             0.93729,             0.69635,            0.026648,           0.0084127,           0.0023584,             0.00274,             0.00274,             0.00274
                 112,            0.020626,            0.011505,           0.0021445,             0.96257,              0.8832,             0.94065,             0.69936,            0.026551,           0.0084522,           0.0025424,            0.002674,            0.002674,            0.002674
                 113,            0.020388,            0.011539,           0.0020726,             0.95858,             0.88861,             0.94247,             0.70187,             0.02633,            0.008379,           0.0024979,            0.002608,            0.002608,            0.002608
                 114,            0.020399,            0.011473,           0.0019794,              0.9493,             0.89695,             0.94139,             0.70072,            0.026172,           0.0084005,           0.0025871,            0.002542,            0.002542,            0.002542
                 115,            0.020318,            0.011467,            0.002048,             0.96008,             0.88889,             0.94455,             0.70523,            0.025992,           0.0084053,           0.0024104,            0.002476,            0.002476,            0.002476
                 116,            0.020272,            0.011411,           0.0020719,             0.95418,             0.88803,             0.94386,             0.69857,            0.026143,           0.0084459,           0.0023183,             0.00241,             0.00241,             0.00241
                 117,            0.019939,            0.011247,           0.0021153,             0.95696,             0.88211,             0.94096,             0.69651,            0.026436,           0.0084786,            0.002329,            0.002344,            0.002344,            0.002344
                 118,            0.020042,            0.011167,           0.0020266,              0.9555,             0.87872,             0.93751,             0.69176,            0.026622,           0.0085438,           0.0024508,            0.002278,            0.002278,            0.002278
                 119,            0.019703,            0.011257,           0.0020391,             0.95364,              0.8887,             0.94188,             0.69999,             0.02622,           0.0084499,           0.0023672,            0.002212,            0.002212,            0.002212
                 120,            0.019888,            0.011348,           0.0019287,             0.96156,             0.88884,             0.94092,             0.70135,            0.026072,           0.0084749,           0.0023316,            0.002146,            0.002146,            0.002146
                 121,            0.019759,            0.011136,           0.0019747,             0.96023,             0.88191,              0.9393,             0.69913,            0.026143,           0.0086386,            0.002393,             0.00208,             0.00208,             0.00208
                 122,            0.019328,              0.0112,           0.0019513,              0.9576,             0.88544,             0.93906,             0.70068,            0.026051,           0.0085088,           0.0025026,            0.002014,            0.002014,            0.002014
                 123,            0.019143,            0.010931,            0.001924,             0.95972,             0.87687,             0.93738,             0.70006,            0.026082,           0.0086347,            0.002412,            0.001948,            0.001948,            0.001948
                 124,              0.0194,            0.011164,           0.0018632,             0.95752,             0.88687,             0.94005,             0.70335,            0.025983,           0.0085924,           0.0023894,            0.001882,            0.001882,            0.001882
                 125,            0.019164,            0.010891,           0.0019831,             0.95663,             0.89096,             0.94195,             0.70525,            0.025881,           0.0085614,           0.0025185,            0.001816,            0.001816,            0.001816
                 126,             0.01883,            0.010718,           0.0016947,             0.95144,             0.88618,             0.93874,             0.70027,            0.026005,           0.0086624,           0.0026501,             0.00175,             0.00175,             0.00175
                 127,            0.019005,            0.010768,           0.0018392,             0.96259,             0.87792,             0.93713,             0.70061,            0.025957,           0.0086964,           0.0026084,            0.001684,            0.001684,            0.001684
                 128,            0.018892,            0.010802,           0.0018658,             0.95635,             0.88407,             0.93806,             0.70424,            0.025857,           0.0087106,           0.0025352,            0.001618,            0.001618,            0.001618
                 129,            0.018606,            0.010551,           0.0016422,             0.96378,             0.88085,             0.93967,             0.70667,            0.025677,           0.0087478,           0.0025468,            0.001552,            0.001552,            0.001552
                 130,            0.018494,            0.010617,           0.0019086,             0.96165,             0.88749,             0.94148,             0.70943,            0.025566,           0.0086858,           0.0023775,            0.001486,            0.001486,            0.001486
                 131,              0.0186,            0.010713,           0.0017694,             0.96423,             0.88445,             0.94255,             0.70833,            0.025647,           0.0087267,           0.0023907,             0.00142,             0.00142,             0.00142
                 132,            0.018183,            0.010483,           0.0016642,               0.971,             0.87369,             0.94125,              0.7083,            0.025688,           0.0088273,           0.0023902,            0.001354,            0.001354,            0.001354
                 133,            0.018218,             0.01049,           0.0016743,             0.95628,             0.88319,             0.94081,             0.70935,            0.025609,            0.008809,           0.0024084,            0.001288,            0.001288,            0.001288
                 134,            0.017999,            0.010604,           0.0015876,             0.96037,             0.88526,              0.9424,             0.71155,              0.0255,           0.0087572,           0.0022282,            0.001222,            0.001222,            0.001222
                 135,            0.017954,            0.010398,           0.0016216,             0.95537,             0.88326,             0.93764,             0.70763,            0.025564,           0.0088573,           0.0023034,            0.001156,            0.001156,            0.001156
                 136,            0.017774,            0.010245,           0.0017209,             0.95844,              0.8888,               0.941,             0.71102,            0.025448,           0.0088295,           0.0022432,             0.00109,             0.00109,             0.00109
                 137,            0.017949,            0.010418,            0.001614,             0.95662,             0.88695,              0.9393,             0.71146,            0.025421,           0.0088963,           0.0022945,            0.001024,            0.001024,            0.001024
                 138,            0.017783,            0.010327,           0.0014932,             0.95333,             0.88055,             0.93818,             0.71023,            0.025486,           0.0090139,           0.0023674,            0.000958,            0.000958,            0.000958
                 139,            0.017524,             0.01032,           0.0015658,             0.95472,             0.88044,             0.93913,             0.71085,             0.02548,           0.0090007,           0.0024372,            0.000892,            0.000892,            0.000892
                 140,            0.017534,            0.010157,           0.0014913,             0.96329,             0.87268,             0.93981,             0.71231,            0.025434,           0.0090004,           0.0024333,            0.000826,            0.000826,            0.000826
                 141,            0.017342,            0.010136,           0.0015098,             0.96095,             0.87556,             0.94022,             0.71132,            0.025417,           0.0090389,           0.0024201,             0.00076,             0.00076,             0.00076
                 142,             0.01711,            0.010016,           0.0015426,             0.96272,             0.87405,             0.94054,             0.71182,             0.02536,           0.0090362,           0.0024265,            0.000694,            0.000694,            0.000694
                 143,             0.01726,            0.010115,           0.0016457,               0.962,             0.87268,             0.94103,             0.71217,             0.02535,           0.0090421,           0.0024041,            0.000628,            0.000628,            0.000628
                 144,            0.016869,            0.010007,           0.0015529,             0.96137,             0.86981,             0.94047,             0.71144,            0.025353,           0.0090623,           0.0024416,            0.000562,            0.000562,            0.000562
                 145,            0.016757,           0.0097305,           0.0013782,              0.9567,             0.87344,             0.93838,             0.71025,            0.025398,           0.0090649,           0.0024634,            0.000496,            0.000496,            0.000496
                 146,             0.01681,           0.0099885,           0.0014448,             0.96002,             0.87584,             0.94059,             0.71184,            0.025386,           0.0090433,           0.0023832,             0.00043,             0.00043,             0.00043
                 147,            0.016611,            0.009927,           0.0013552,             0.95784,             0.87891,             0.94052,             0.71214,             0.02542,           0.0090673,           0.0024319,            0.000364,            0.000364,            0.000364
                 148,            0.016673,           0.0098295,           0.0014492,             0.95666,             0.87994,             0.94009,             0.71256,            0.025427,           0.0090996,           0.0024677,            0.000298,            0.000298,            0.000298
                 149,            0.016717,           0.0099101,           0.0013319,             0.95648,             0.87771,             0.94058,             0.71277,            0.025422,           0.0091129,           0.0024807,            0.000232,            0.000232,            0.000232
